Account;Tweet_Nr;Date_Time;Tweet;;;;;;;;
realDonaldTrump;1228446339207480000;14.02.2020 22:30;"b'....Today @FLOTUS and I encourage all Americans to cherish and honor the memory of those we have lost through acts of love and service. We will hold Parkland forever in our hearts.'""";;;;;;;;
realDonaldTrump;1228446338091820000;14.02.2020 22:30;"b'It has been two years since the tragedy in Parkland. We will always mourn the innocent lives taken from us \xe2\x80\x93 14 wonderful students and 3 terrific educators. Earlier this week I met with families whose experiences from that horrible day still pierce the soul....'""";;;;;;;;
realDonaldTrump;1228442887081290000;14.02.2020 22:16;b'.@TomMcClintock is a strong Conservative Leader who will always fight for the people of California. He fully supports our #MAGA Agenda will continue to Secure Our Border Loves our Military &amp;;;;;;;;
realDonaldTrump;1228439060106050000;14.02.2020 22:01;b'.@JodeyArrington from the Great State of Texas has been an incredible supporter of our #MAGA Agenda. Jodey fully supports Securing our Border w/ the WALL he Loves our Military &amp;;;;;;;;
realDonaldTrump;1228438881969880000;14.02.2020 22:00;b'.@MoInTheHouse Brooks is running for Congress in the Great State of Alabama. He is a huge supporter of the #MAGA Agenda. Mo fully supports Securing our Border w/the WALL he Loves our Military &amp;;;;;;;;
realDonaldTrump;1228438298584140000;14.02.2020 21:58;"b'\xe2\x80\x9cThe Greatest name in politics\xe2\x80\x9d Patrick @McHenryCampaign from the Great State of North Carolina is a Conservative Fighter and a true Leader who ALWAYS supports our #MAGA Agenda. Patrick has my Complete and Total Endorsement! https://t.co/t1ciRWONff'""";;;;;;;;
realDonaldTrump;1228418892663480000;14.02.2020 20:41;b'Thank you to the beautiful country of Cambodia for accepting the @CarnivalCruise ship Westerdam into your port. The United States will remember your courtesy! @MickyArison';;;;;;;;
realDonaldTrump;1228341384131770000;14.02.2020 15:33;"b'It is happening again to Crazy Bernie just like last time only far more obvious. They are taking the Democrat Nomination away from him and there\xe2\x80\x99s very little he can do. A Rigged System!'""";;;;;;;;
realDonaldTrump;1228339772348910000;14.02.2020 15:26;b'95% Approval Rating in the Republican Party. Thank you!';;;;;;;;
realDonaldTrump;1228339437685390000;14.02.2020 15:25;b'....always continue. Every Republican Senator except Romney many highly religious people all very smart voted against the Impeachment Hoax. @SenCapito was all in (a great person). I was told by many that Manchin was just a puppet for Schumer &amp;;;;;;;;
realDonaldTrump;1228339433323290000;14.02.2020 15:25;b'I was very surprised &amp;;;;;;;;
realDonaldTrump;1228338223786680000;14.02.2020 15:20;"b'\xe2\x80\x9cPresident Trump with smart policies has done more to help the Black community than any President in the modern era.\xe2\x80\x9d @IngrahamAngle @FoxNews'""";;;;;;;;
realDonaldTrump;1228311415192210000;14.02.2020 13:33;"b'\xe2\x80\x9cThe President has never asked me to do anything in a criminal case.\xe2\x80\x9d A.G. Barr  This doesn\xe2\x80\x99t mean that I do not have as President the legal right to do so I do but I have so far chosen not to!'""";;;;;;;;
realDonaldTrump;1228023660457480000;13.02.2020 18:30;b'I\xe2\x80\x99m seeing Governor Cuomo today at The White House. He must understand that National Security far exceeds politics. New York must stop all of its unnecessary lawsuits &amp;;;;;;;;
realDonaldTrump;1227986937652350000;13.02.2020 16:04;b'....which he actually has a military and legal obligation to do. His incredible wife Karen who I have a lot of respect for once pulled me aside &amp;;;;;;;;
realDonaldTrump;1227986935240690000;13.02.2020 16:04;b'When I terminated John Kelly which I couldn\xe2\x80\x99t do fast enough he knew full well that he was way over his head. Being Chief of Staff just wasn\xe2\x80\x99t for him. He came in with a bang went out with a whimper but like so many X\xe2\x80\x99s he misses the action &amp;;;;;;;;
realDonaldTrump;1227958133550640000;13.02.2020 14:10;b'DRAIN THE SWAMP! We want bad people out of our government!';;;;;;;;
realDonaldTrump;1227946304057360000;13.02.2020 13:23;"b'Mini Mike is a 5\xe2\x80\x994\xe2\x80\x9d mass of dead energy who does not want to be on the debate stage with these professional politicians. No boxes please. He hates Crazy Bernie and will with enough money possibly stop him. Bernie\xe2\x80\x99s people will go nuts!'""";;;;;;;;
realDonaldTrump;1227943796681400000;13.02.2020 13:13;"b'Mini Mike Bloomberg is a LOSER who has money but can\xe2\x80\x99t debate and has zero presence you will see. He reminds me of a tiny version of Jeb \xe2\x80\x9cLow Energy\xe2\x80\x9d Bush but Jeb has more political skill and has treated the Black community much better than Mini! https://t.co/qIef5VhjDr'""";;;;;;;;
realDonaldTrump;1227940556057310000;13.02.2020 13:00;b'\xe2\x80\x9cDeven Nunes predicts that more examples of Mueller team misconduct will be revealed in coming weeks.\xe2\x80\x9d @seanhannity  @FoxNews';;;;;;;;
realDonaldTrump;1227939838751650000;13.02.2020 12:57;"b'Now it looks like the fore person in the jury in the Roger Stone case had significant bias. Add that to everything else and this is not looking good for the \xe2\x80\x9cJustice\xe2\x80\x9d Department. @foxandfriends @FoxNews'""";;;;;;;;
realDonaldTrump;1227718765154040000;12.02.2020 22:18;b'GREAT NEWS! #KAG2020\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 https://t.co/QA6Bpl4ETv';;;;;;;;
realDonaldTrump;1227707252796260000;12.02.2020 21:33;"b'.@ClaudiaTenney is a fantastic candidate running in New York where she was a Great member of Congress. She is Strong on Crime Borders Cutting Taxes your #2A and she Loves our Military and Vets. Claudia has my Complete and Total Endorsement! https://t.co/pU36bNWR3t'""";;;;;;;;
realDonaldTrump;1227706206380310000;12.02.2020 21:29;b'.@NMalliotakis is running for Congress in NY I know her well we need her to defeat Max Rose who voted for Impeachment! Nicole is Strong on Crime &amp;;;;;;;;
realDonaldTrump;1227705242579500000;12.02.2020 21:25;b'.@MattForMontana Rosendale is a Strong &amp;;;;;;;;
realDonaldTrump;1227703969713200000;12.02.2020 21:20;"b'.@WesleyHuntTX is running for Congress in the Great State of Texas. He will help us accomplish our America First policies. Wesley is strong on Crime the Border our 2nd Amendment Trade Military and Vets. Wesley has my Complete and Total Endorsement! https://t.co/tdnO5Uh5Sa'""";;;;;;;;
realDonaldTrump;1227703656633500000;12.02.2020 21:18;b'.@AugustPfluger is a Great Veteran and Strong Leader for Texas where he is running for Congress. He will protect your #2A fight for our Farmers Oil/Gas Workers and he supports our #MAGA &amp;;;;;;;;
